,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,517685,18/04/2011,a few days or more,0%,6%,2,3,"['email', 'phone']",Hadern,48.11492,11.48954,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Paid dryer"", ""Hangers"", ""Microwave"", ""Free street parking"", ""Room-darkening shades"", ""Private entrance"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Window guards"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Paid washer"", ""Toaster""]",$95.00,2,90,2.0,90.0,t,2,6,6,175,126,0,0,03/10/2011,03/10/2019,4.84,4.89,4.81,4.9,4.93,4.78,4.73,f,2,2,0,0,0.8
1,581737,12/05/2011,within an hour,100%,99%,3,3,"['email', 'phone']",Berg am Laim,48.12071,11.63758,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Free street parking"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Wifi""]",$145.00,2,30,2.0,30.0,t,18,25,25,95,74,13,1,08/07/2011,01/09/2024,4.84,4.77,4.95,4.97,5.0,4.66,4.61,f,3,3,0,0,0.46
3,765694,01/07/2011,within an hour,100%,78%,1,1,"['email', 'phone']",Pasing-Obermenzing,48.13855,11.46586,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""30 inch HDTV with standard cable, premium cable"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Electrolux electric stove"", ""Iron"", ""Garden view"", ""Free street parking"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Window guards"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Smoking allowed"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Bikes""]",$86.00,3,35,4.0,1125.0,t,9,19,30,43,41,4,0,15/08/2011,24/07/2024,4.64,4.73,4.27,4.78,4.8,4.59,4.44,t,1,1,0,0,0.26
4,108297,14/04/2010,within a few hours,100%,100%,1,1,"['email', 'phone']",Sendling-Westpark,48.10814,11.52733,Private room in home,Private room,4,1.0,1 shared bath,1.0,2.0,"[""Luggage dropoff allowed"", ""Heating"", ""Paid washer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker"", ""Free parking on premises"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Breakfast""]",$120.00,3,1125,3.0,1125.0,t,1,1,14,161,567,28,0,25/09/2011,18/08/2024,4.95,4.96,4.99,4.99,4.98,4.77,4.91,f,1,0,1,0,3.58
6,825767,16/07/2011,within an hour,100%,67%,1,1,"['email', 'phone']",Maxvorstadt,48.14957,11.55507,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Hangers"", ""HDTV with standard cable"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Body soap""]",$129.00,2,7,2.0,7.0,t,11,25,28,55,111,9,1,22/05/2012,01/09/2024,4.85,4.9,4.91,4.89,4.88,4.82,4.79,f,1,0,1,0,0.74
7,880705,27/07/2011,within a few hours,100%,78%,2,4,"['email', 'phone', 'work_email']",Allach-Untermenzing,48.17532,11.44526,Shared room in ice dome,Shared room,16,1.5,1.5 shared baths,1.0,1.0,"[""Microwave"", ""Coffee maker"", ""Dishwasher"", ""Dishes and silverware"", ""Wifi"", ""Waterfront"", ""Refrigerator"", ""Elevator""]",$50.00,1,730,1.0,730.0,t,29,59,89,364,1,0,0,25/09/2022,25/09/2022,3.0,4.0,1.0,1.0,2.0,1.0,3.0,t,1,0,0,1,0.04
9,901209,01/08/2011,within a few hours,90%,77%,2,3,"['email', 'phone']",Neuhausen-Nymphenburg,48.15638,11.53935,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Denon sound system with aux"", ""Heating"", ""46 inch HDTV"", ""Bomann gas stove"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Children\u2019s books and toys"", ""Fast wifi \u2013 54 Mbps"", ""Dishes and silverware"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Cleaning products"", ""Laundromat nearby"", ""Gorenje refrigerator"", ""Iron"", ""Garden view"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Bomann single oven"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Diverse body soap"", ""Shampoo"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Ceiling fan"", ""Kitchen"", ""Toaster""]",$97.00,2,35,2.0,35.0,t,23,53,83,83,49,5,2,26/09/2011,22/09/2024,4.9,4.87,4.66,4.98,4.96,4.78,4.58,f,1,0,1,0,0.31
10,914449,03/08/2011,within an hour,100%,99%,2,4,['phone'],Schwanthalerhöhe,48.13591874,11.54427055,Entire loft,Entire home/apt,6,1.5,1.5 baths,2.0,4.0,"[""BBQ grill"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Beach essentials"", ""Long term stays allowed"", ""Heating"", ""Hot water kettle"", ""Paid resort access"", ""Lockbox"", ""Pets allowed"", ""Self check-in"", ""Dishes and silverware"", ""Other stainless steel gas stove"", ""Blender"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Coffee maker: drip coffee maker, espresso machine"", ""Outdoor playground"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""Dedicated workspace"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Housekeeping available 3 hours a day, 1 day a week - available at extra cost"", ""Room-darkening shades"", ""Babysitter recommendations"", ""Trash compactor"", ""HDTV with Amazon Prime Video, Disney+, Netflix, standard cable, Fire TV, Apple TV"", ""Private entrance"", ""Shared backyard \u2013 Fully fenced"", ""Exercise equipment: free weights, yoga mat"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""EV charger - level 2"", ""Shower gel"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Clamp on table seat high chair - always at the listing"", ""City skyline view"", ""Conditioner"", ""Essentials"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Dishwasher"", ""Free washer"", ""Stainless steel single oven"", ""Coffee"", ""Drying rack for clothing"", ""Shampoo"", ""Crib - always at the listing"", ""Books and reading material"", ""Refrigerator"", ""Smoke alarm"", ""Baking sheet"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""Paid parking on premises"", ""Pocket wifi"", ""Private patio or balcony"", ""Paid parking garage off premises"", ""Board games"", ""Dining table"", ""Clothing storage: closet and wardrobe"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Mountain view"", ""Toaster""]",$771.00,3,1125,3.0,1125.0,t,6,28,48,52,438,41,3,22/12/2011,15/09/2024,4.8,4.89,4.76,4.88,4.89,4.85,4.68,t,2,1,1,0,2.82
12,914691,03/08/2011,within an hour,100%,87%,2,2,"['email', 'phone']",Au-Haidhausen,48.12627792,11.57953453,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shared beach access"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$65.00,2,14,2.0,14.0,t,5,21,25,256,254,23,2,08/10/2011,02/09/2024,4.57,4.69,4.67,4.74,4.79,4.84,4.56,f,2,2,0,0,1.61
13,919644,04/08/2011,within an hour,100%,98%,1,1,"['email', 'phone']",Berg am Laim,48.12608,11.63305,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""L'Oreal shampoo"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""Laundromat nearby"", ""Iron"", ""Freezer"", ""Free street parking"", ""Bosch refrigerator"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""L'Oreal conditioner"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Long term stays allowed"", ""Baking sheet"", ""Smoke alarm"", ""Piano"", ""Privileg stainless steel stove"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Wifi"", ""Body soap"", ""Toaster"", ""Privileg stainless steel oven""]",$40.00,2,730,2.0,730.0,t,0,0,1,1,246,53,0,23/03/2012,25/08/2024,4.93,4.93,4.98,4.96,4.95,4.83,4.93,f,1,0,1,0,1.61
